source_system,source_column,source_logical_name,standard_column,standard_logical_term,term_id,domain_id,nullable,transformation_rule,quality_rule
biz_legacy_integrated,area_no,업무영역 식별자,business_area_id,업무영역ID,BUSINESS_AREA_ID,BUSINESS_AREA_ID,N,"NFKC→모든 공백·탭·개행·유니코드 공백 제거→하이픈·밑줄 제거→대문자화→BIZ_##### 재구성",REQUIRED_VALUE_NOT_NULL|BUSINESS_AREA_ID_FORMAT
biz_legacy_integrated,area_nm,업무영역 이름,business_area_name,업무영역명,BUSINESS_AREA_NAME,BUSINESS_AREA_NAME,N,"NFKC→모든 공백·탭·개행·유니코드 공백 제거; NULL 토큰은 필수값 위반으로 행 거부",REQUIRED_VALUE_NOT_NULL
biz_legacy_integrated,p_area_no,상위 업무영역 식별자,parent_business_area_id,상위업무영역ID,PARENT_BUSINESS_AREA_ID,OPTIONAL_BUSINESS_AREA_ID,Y,"NFKC→모든 공백·탭·개행·유니코드 공백 제거→업무영역 ID 형식 표준화; 공통 NULL 토큰과 없음을 NULL로 변환",BUSINESS_AREA_ID_FORMAT|PARENT_ID_NAME_PAIR|HIERARCHY_ID_NAME_CONSISTENCY
biz_legacy_integrated,p_area_nm,상위 업무영역 이름,parent_business_area_name,상위업무영역명,PARENT_BUSINESS_AREA_NAME,BUSINESS_AREA_NAME,N,"NFKC→모든 공백·탭·개행·유니코드 공백 제거; NULL 토큰은 필수값 위반으로 행 거부",REQUIRED_VALUE_NOT_NULL|PARENT_ID_NAME_PAIR|HIERARCHY_ID_NAME_CONSISTENCY
biz_legacy_integrated,top_area_no,최상위 업무영역 식별자,top_business_area_id,최상위업무영역ID,TOP_BUSINESS_AREA_ID,BUSINESS_AREA_ID,N,"NFKC→모든 공백·탭·개행·유니코드 공백 제거→하이픈·밑줄 제거→대문자화→BIZ_##### 재구성",REQUIRED_VALUE_NOT_NULL|BUSINESS_AREA_ID_FORMAT|TOP_ID_NAME_PAIR|HIERARCHY_ID_NAME_CONSISTENCY
biz_legacy_integrated,top_area_nm,최상위 업무영역 이름,top_business_area_name,최상위업무영역명,TOP_BUSINESS_AREA_NAME,BUSINESS_AREA_NAME,N,"NFKC→모든 공백·탭·개행·유니코드 공백 제거; NULL 불허",REQUIRED_VALUE_NOT_NULL|TOP_ID_NAME_PAIR|HIERARCHY_ID_NAME_CONSISTENCY
biz_legacy_integrated,top_area_lvl,최상위 업무영역 레벨,top_business_area_level_code,최상위업무영역레벨코드,TOP_BUSINESS_AREA_LEVEL_CODE,TOP_AREA_LEVEL_CODE,N,"모든 공백 제거 후 1·L1·TOP_LEVEL·top_level·TOP LEVEL·TOPLEVEL·최상위를 TOP으로 매핑; UNKNOWN은 필수값 위반으로 행 거부",REQUIRED_VALUE_NOT_NULL|TOP_LEVEL_CODE_VALIDITY
biz_legacy_integrated,mgr_no,담당자 식별자,manager_id,담당자ID,MANAGER_ID,MANAGER_ID,N,"NFKC→모든 공백·탭·개행·유니코드 공백 제거→하이픈·밑줄 제거→대문자화→EMP###### 재구성; UNKNOWN은 필수값 위반으로 행 거부",REQUIRED_VALUE_NOT_NULL|MANAGER_ID_FORMAT
biz_legacy_integrated,mgr_nm,담당자 이름,manager_name,담당자명,MANAGER_NAME,PERSON_NAME,N,"NFKC→모든 공백·탭·개행·유니코드 공백 제거; NULL 토큰은 필수값 위반으로 행 거부",REQUIRED_VALUE_NOT_NULL
biz_legacy_integrated,mgr_dept_nm,담당자 부서 이름,manager_department_name,담당자부서명,MANAGER_DEPARTMENT_NAME,DEPARTMENT_NAME,N,"NFKC→모든 공백·탭·개행·유니코드 공백 제거; NULL 토큰은 필수값 위반으로 행 거부",REQUIRED_VALUE_NOT_NULL
biz_legacy_integrated,mgr_pos_nm,담당자 직위 이름,manager_position_name,담당자직위명,MANAGER_POSITION_NAME,MANAGER_POSITION_NAME,N,"NFKC→모든 공백·탭·개행·유니코드 공백 제거→허용 직위로 매핑; 미상은 필수값 위반으로 행 거부",REQUIRED_VALUE_NOT_NULL|MANAGER_POSITION_VALIDITY
