word_id,logical_word,english_word,approved_abbreviation,definition,legacy_examples
ID,ID,identifier,ID,대상을 유일하게 구분하는 식별자,no
BUSINESS,업무,business,,조직이 수행하거나 관리하는 활동,biz
AREA,영역,area,,업무를 계층적으로 분류한 관리 단위,
NAME,명,name,,대상의 이름,nm
PARENT,상위,parent,,현재 대상의 바로 위 계층,p
TOP,최상위,top,,계층 구조에서 가장 위에 있는 단계,
LEVEL,레벨,level,,계층의 높이나 단계를 나타내는 값,lvl
CODE,코드,code,,정해진 규칙에 따라 값을 구분하는 짧은 값,cd
MANAGER,담당자,manager,,업무영역을 담당하는 임직원,mgr
DEPARTMENT,부서,department,,담당자가 소속된 조직 단위,dept
POSITION,직위,position,,조직에서 담당자가 갖는 직위,pos
HIRE,입사,hire,,임직원이 조직과 고용 관계를 시작하는 사건,
DATETIME,일시,datetime,,날짜와 시각을 함께 나타내는 값,dtm|at
ACTIVE,활성,active,,현재 업무상 사용 또는 재직 상태임을 나타내는 말,act
YN,여부,yes_no,YN,참과 거짓을 Y 또는 N으로 표현하는 값,yn
REGISTRATION,등록,registration,,대상을 시스템에 처음 기록하는 행위,reg
